KPN_RS03880	GO:0005975,GO:0003824
KPN_RS03895	GO:0030163
KPN_RS03900	GO:0006281,GO:0000703,GO:0003677,GO:0008270,GO:0140078
KPN_RS03910	GO:0006099,GO:0004108
KPN_RS03915	GO:0006099,GO:0000104,GO:0009055,GO:0016020,GO:0045281
KPN_RS03925	GO:0006099,GO:0022900,GO:0016627,GO:0050660
KPN_RS03935	GO:0006099,GO:0006554,GO:0006568,GO:0004591,GO:0045252
KPN_RS03940	GO:0006099,GO:0004149,GO:0045252
KPN_RS03945	GO:0006099,GO:0003824,GO:0005524,GO:0046872
KPN_RS03950	GO:0003824
KPN_RS03960	GO:0019646,GO:0009055,GO:0070069
KPN_RS03965	GO:0016020
KPN_RS03970	GO:0016682
KPN_RS03995	GO:0043213,GO:0019534,GO:0016020
KPN_RS04000	GO:0006810,GO:0005215,GO:0030288
KPN_RS04010	GO:0051301,GO:0070206,GO:0005515
KPN_RS04055	GO:0009435,GO:0008987,GO:0051539
KPN_RS04060	GO:0015890,GO:0015663,GO:0016020
KPN_RS04065	GO:0006829,GO:0055085,GO:0005385,GO:0016020
KPN_RS04080	GO:0016836
KPN_RS04085	GO:0006313,GO:0004803
KPN_RS04090	GO:0016829
KPN_RS04095	GO:0006355,GO:0003700
KPN_RS28630	GO:0006355,GO:0003700
KPN_RS04110	GO:0006814,GO:0008948,GO:0015081
KPN_RS04125	GO:0006096,GO:0004619
KPN_RS04130	GO:0006012,GO:0004034
KPN_RS04135	GO:0006012,GO:0046835,GO:0004335,GO:0005524
KPN_RS04140	GO:0006012,GO:0008108
KPN_RS04145	GO:0006012,GO:0003978
KPN_RS32165	GO:0005524
KPN_RS04160	GO:0006355,GO:0015689,GO:0003700,GO:0030151
KPN_RS04165	GO:1990961,GO:0042910,GO:0005886
KPN_RS04170	GO:0015689
KPN_RS04175	GO:0015689,GO:0015098,GO:0016020
KPN_RS04180	GO:0015689,GO:0005524,GO:0015098,GO:0016020
KPN_RS04185	GO:0016787
KPN_RS04190	GO:0017057
KPN_RS04195	GO:0071468
KPN_RS04215	GO:0006355,GO:0003677
KPN_RS04220	GO:0006355,GO:0003677
KPN_RS04225	GO:0071468
KPN_RS04240	GO:0016747
KPN_RS04245	GO:0022857,GO:0016020
KPN_RS04250	GO:0006810,GO:0005215
KPN_RS04265	GO:0042545,GO:0030599
KPN_RS04270	GO:0006548,GO:0050480
KPN_RS04275	GO:0019556,GO:0050415
KPN_RS32330	GO:0006548,GO:0016153
KPN_RS04290	GO:0006548,GO:0004397
KPN_RS04295	GO:0055085,GO:0022857,GO:0016020
KPN_RS04305	GO:0009102,GO:0004015,GO:0030170
KPN_RS04310	GO:0009102,GO:0004076,GO:0051537,GO:0051539,GO:1904047
KPN_RS04315	GO:0009102,GO:0008710
KPN_RS04320	GO:0009102,GO:0010340
KPN_RS04325	GO:0009102,GO:0004141
KPN_RS04330	GO:0005524
KPN_RS04345	GO:0006289,GO:0009381,GO:0009380
KPN_RS04360	GO:0016772
KPN_RS04370	GO:0006777,GO:0051539
KPN_RS04375	GO:0006777,GO:0003824
KPN_RS04380	GO:0006777,GO:0003824
KPN_RS04385	GO:0006777
KPN_RS04390	GO:0006777
KPN_RS04395	GO:0016020
KPN_RS04405	GO:0032049,GO:0008808
KPN_RS04410	GO:0003824
KPN_RS04420	GO:0042626,GO:0140359
KPN_RS04425	GO:0140359,GO:0016020
KPN_RS04430	GO:0005524
KPN_RS04455	GO:0055085,GO:0022857
KPN_RS04460	GO:0016491
KPN_RS04475	GO:0003724
KPN_RS04480	GO:0006139,GO:0003677,GO:0003678,GO:0005524,GO:0016818
KPN_RS04495	GO:0008270
KPN_RS04505	GO:0010181,GO:0016646
KPN_RS04510	GO:0006364,GO:0008988
KPN_RS04515	GO:0055085
